Site,ID,Latitude,Longitude
US-SRM,1,31.821522b,-110.866236b
US-SRM,2,31.821566b,-110.866397b
US-SRM,3,31.821595b,-110.86647b
US-SRM,4,31.821453b,-110.866394b
US-SRM,5,31.821351b,-110.866372b
US-SRM,6,31.821397b,-110.866396b
US-SRM,7,31.821478b,-110.866087b
US-SRM,8,31.821493b,-110.865876b
US-SRM,9,31.821066b,-110.86592b
US-SRM,10,31.821107b,-110.866043b
US-SRM,11,31.821057b,-110.866073b
US-SRM,12,31.821222b,-110.865964b
US-SRM,13,31.821336b,-110.865872b
US-SRM,14,31.821335b,-110.866022b
US-SRM,15,31.821260b,-110.866218b
US-SRM,16,31.322039b,-110.866253b
US-SRG,1,31.78992b,-110.82809b
US-SRG,2,31.78969b,-110.82817b
US-SRG,3,31.78923b,-110.82815b
US-SRG,4,31.78918b,-110.82787b
US-SRG,5,31.78932b,-110.8278b
US-SRG,6,31.78917b,-110.82757b
US-SRG,7,31.78942b,-110.82787b
US-SRG,8,31.78955b,-110.82722b
US-SRG,9,31.78970b,-110.82713b
US-SRG,10,31.78954b,-110.82777b